Item, Quantity Needed, Cost of product, Source Link
MG995, 6, $26, https://robu.in/product/towerpro-mg995-servo-high-speed-digital-metal-gear-ball-bearing-torque-12kg-robot-arduino-good-quality180-degree-rotation/
arduino uno r4, 1, $16.8, https://robu.in/product/official-arduino-uno-ek-wifi/
698 2RS 8×19×7 bearing, 10, $7.9, https://www.amazon.in/Ball-Bearing-Inner-Diameter-Outer/dp/B0DS63MNGC
M4 nuts and bolts kit, 1, $4.5, https://www.amazon.in/TRO-140-pcs-Socket-Length/dp/B0DSX91Y9L
7.4V 1000mAh 30C 2S Lithium Polymer Battery Pack, 1, $12.1, https://robu.in/product/pro-range-1000mah-2s-30c60c-lithium-polymer-battery-pack-lipo/
MPU6500, 1, $1.6, https://robu.in/product/mpu6500-gyroscope-accelerometer-digital-motion-processor-dmp-6-axis-motion-sensor-with-i2c-spi-interface/
breadboard mini, 5, $1.25, https://robu.in/product/170-pts-mini-breadboard-syb-170-white/
balance charger for 2S-3S LiPo, 1, $3.8, https://robu.in/product/b3ac-compact-balance-charger-2s-3s-lipo/
UBEC 5V/7A, 2, $11, https://robu.in/product/ubec-5v-7a/
XT-60 Male 12AWG 25CM Connector Pigtail Cable, 1, $2, https://robu.in/product/safeconnect-xt-60-male-12awg-25cm-connector-pigtail-cable/
16ZLH1000MHFCT7, 4, $0.7, https://robu.in/product/16zlh1000mhfct78x20-rubycon-1000uf-16v-%c2%b120-plugind8xl20mm-aluminum-electrolytic-capacitors-leaded-rohs/
16AWG Silicone Braided Wire-Red, 1, $0.7, https://robu.in/product/16awg-silicone-braided-wire-red/
16AWG Silicone Braided wire-Black, 1, $0.7, https://robu.in/product/16awg-silicone-braided-wire-black/
22AWG High Quality Ultra Flexible Silicone Wire - Blue, 2, $0.6, https://robu.in/product/high-quality-ultra-flexible-22awg-silicone-wire-1000m-blue/
Male header pins, 1, $0.3, https://robu.in/product/1-27mm-1x40-pin-male-single-row-header-strip-pack-of-5/
Female header pins, 1, $0.5, https://robu.in/product/1-27mm-1x40-pin-female-single-row-header-strip-pack-of-3/
Jumper Wire kit, 1, $2.3, https://www.amazon.in/Robosiddhi-40-40-40-Compatible-Raspberry-Breadboard/dp/B0H6S2Z84Q
Velcro straps for battery, 2, $2.5, https://robu.in/product/20300mm-reverse-velcro-zip-ties-with-silicone/
Fuse Holder-BF-013A, 2, $0.4, https://robu.in/product/fuse-holder-bf-013a/
15A 32V ATC Automotive Metal Blade Fuse, 5, $0.75, https://robu.in/product/15a-32v-atc-automotive-metal-blade-fuse/
10A 250V/ 16A 125V SPDT ON-OFF Rocker Switch with Light, 1, $0.7, https://robu.in/product/1-month-warranty-1216/
LB16SM2-LANBOO-16mm Plastic Emergency Stop Switch(2C-2NC), 1, $3.7, https://robu.in/product/lb16sm2-lanboo-16mm-plastic-emergency-stop-switch2c-2nc/
1000uf 16v Capacitor, 1, $3, https://www.amazon.in/RoboThings-1000uf-16v-Capacitor-pice/dp/B0DVSXC6PM
Heat Shrink Tube, 1, $2, https://www.amazon.in/Rpi-shop-Meters-Shrink-Polyolefin/dp/B08BXXFCKM
Cable Ties, 1, $1.5, https://www.amazon.in/NUOVI-Resistant-Self-Locking-Mechanism-Self-Lock/dp/B0F2SZX7MH
Crimping tool, 1, $3.4, https://www.amazon.in/gp/product/B0GZYSF5JH
14AWG Silicone Braided wire-Black, 1, $1, https://robu.in/product/14awg-silicone-braided-wire-black/
14AWG Silicone Braided wire-Red, 1, $1, https://robu.in/product/14awg-silicone-braided-wire-red/
Heat Gun, 1, $6.8, https://www.amazon.in/IBELL-VR-HG20-45-250-300%C2%B0C-Protection/dp/B0GQ9663F9/
3d printing + shipping, 1, $13, https://printlegion.hackclub.com/
-, -, -, -
Total, -, ~$137, -
